Date,Open*,High,Low,Close**,Volume,Market Cap,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,rsi,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,Nasdaq_Change_bin_0day,S&P500_Change_Bin_0day,BTC_Change_Bin_0day,BTC_Volume,Tweets_Count,Tweets_Vader_Sentiment,News_Vader_Sentiment,Binance_change,Gold_Price_binary,Oil_Price_binary,BTC_Volume_binary,Tweets_Count_binary,Tweets_Vader_Sentiment_binary,News_Vader_Sentiment_binary,Binance_change_lag_1,Binance_change_lag_2,Binance_change_lag_3,Binance_change_lag_4,Binance_change_lag_5
2022-12-31,246.46,246.5,243.13,245.78,342300809.0,39316042284.0,1100243622.3897376,-1325878864.0,0.21443819284960008,-1284504154.8025575,-1.5063066941217946,-4.663248037659877,-45102349.11290893,259.21485025025976,24.322067939654644,890.7478527571575,257.41749999999996,280.82732432655143,234.0076756734485,18.188215118670232,0.25143982633819506,0.0,0.0,252.86933333333332,258.6213333333333,247.1173333333333,4.549385189715909,-0.11624942049142062,0.0,1.0,241.69,283.03,262.36,16.059514213291628,0.09893565553942926,8.382100000000005,0.0,-8.37235912133525,-5.762300038470581,-2.6100590828646695,257.41749999999996,257.41749999999996,255.2439106304302,263.61626975176546,0.17372754362730447,0.4293802591940412,-0.25565271556673674,-0.2903157628750888,11.534752496712066,19.87250000000006,811.6530640150081,884.0292689618153,-72.3762049468072,252.325,262.36,257.3425,262.36,0.0,0.0,0.0,0.0,-79.81788842784717,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,263.11991599860704,0.0,0.0,16.3956138078905,0.0,0.0,0.0,-90.82930092662774,48.16269078267506,9.893565553942926,9.030801483631667,-90.10643444605708,-10.967749999999995,0.0,-3.1759644915767495,-2.161462200010438,-1.0145022915663113,-8.32543282972051,-3.8521145856438315,-4.473318244076679,249.19234875170164,-0.23137812056017726,-0.23164621335212132,-11.363554401529086,16.3956138078905,-8.37235912133525,-5.762300038470581,-2.6100590828646695,257.41749999999996,280.82732432655143,234.0076756734485,1,1,0,-0.7415537825306516,0.027796329516017317,-0.7330508404237118,-0.8253342033564917,1,0,0,0,0,1,0,0.0,1.0,0.0,1.0,1.0
2022-12-30,244.17,246.6,243.58,246.48,345312528.0,39428145950.0,1418114095.1844385,-980566336.0,0.25896273776174494,-1066472308.4593356,0.240506767828595,-4.25460180386917,-44118872.956997186,258.35338579404066,29.3150593890784,890.7478527571575,256.57615384615383,279.81065278261474,233.34165490969292,18.111191229713885,0.2827335576772354,0.0,0.0,250.448,255.11499999999995,245.781,3.726921356928363,0.07488750803513905,0.0,0.0,241.69,283.03,262.36,16.112175422501632,0.11586840832123839,7.8458900000000025,0.0,-8.45129974953278,-6.300099980683021,-2.151199768849758,254.85,256.57615384615383,253.8956166872871,262.34691643681987,0.18616081869248885,0.43623263046897454,-0.2500718117764857,-0.3222688294098745,12.291761767318405,16.12384615384616,788.5705565911637,866.714884505495,-78.14432791433126,251.105,262.36,256.7325,262.36,0.0,0.0,0.0,0.0,-70.66339306436059,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,260.5483260787742,0.0,0.0,18.50138981142932,0.0,0.0,0.0,-89.47980254578457,52.02305674223591,11.586840832123839,10.917593936461857,-88.41315916787616,-10.247769230769222,-11.111111111111121,-3.221421415703233,-2.3734540431489974,-0.8479673725542356,-8.769649832301065,-4.835621634975278,-3.9340281973257865,248.5304162585021,0.2848075514687798,0.2844027431961216,-11.111111111111116,18.50138981142932,-8.45129974953278,-6.300099980683021,-2.151199768849758,256.57615384615383,279.81065278261474,233.34165490969292,1,1,0,-0.6131978772911159,0.3033876805698333,-1.2688006972989756,-0.4209091813427949,0,0,0,1,0,0,1,1.0,0.0,1.0,1.0,0.0
2022-12-29,246.61,246.84,242.11,244.14,414698978.0,39054223214.0,1359372379.4846458,-1395265314.0,0.23076072290964264,-1052747065.6108593,-0.7014606146437067,-3.981283250851827,-48055888.57092126,257.3685229400634,27.172503971464607,890.7478527571575,255.68785714285715,278.9754825245565,232.4002317611578,18.21566783962538,0.2520602261162253,0.0,0.0,248.75666666666666,253.5596666666667,243.9536666666667,3.8616050491109095,0.019397598723016312,0.0,0.0,241.69,283.03,262.36,16.16815145699415,0.05926463473633261,7.534301000000001,8.850082675578564,-8.603503378467735,-6.7607806602399645,-1.8427227182277708,252.47000000000003,255.68785714285715,252.39475258155062,260.99825596001835,0.19600867934171093,0.446275673425183,-0.2502669940834721,-0.3508650934390309,13.0927189909745,18.70214285714283,770.5116453289241,849.2319022431561,-78.72025691423198,251.105,262.36,256.7325,262.36,0.0,0.0,0.0,0.0,-73.0298796480133,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,258.2853269493213,0.0,0.0,16.96325370192706,0.16963253701927059,0.0,0.0,-88.42140636082247,43.32215924835584,5.926463473633261,9.135623286566672,-94.07353652636674,-9.510142857142881,-10.473047304730475,-3.296383474602866,-2.5580399294397713,-0.7383435451630946,-7.631994999573455,-5.394896307894914,-2.2370986916785407,247.72451054487132,-0.9493670886076,-0.9539023046758466,-11.954992967651211,16.96325370192706,-8.603503378467735,-6.7607806602399645,-1.8427227182277708,255.68785714285715,278.9754825245565,232.4002317611578,1,1,1,-0.6530712080842828,0.35051039923767713,-1.1729198750788312,-0.6746178512722835,1,0,0,0,0,1,1,0.0,1.0,1.0,0.0,0.0
2022-12-28,244.2,247.68,242.56,246.6,391342277.0,39446947208.0,1585617133.375269,-1003923037.0,0.2523994655802893,-764825770.3207362,0.8438648707509775,-3.6366298135944843,-44112651.0784169,255.1042570411389,31.893865106925347,899.7231936180677,255.082,278.03226762371196,232.13173237628806,17.994423458897103,0.31520912655422567,0.0,0.0,247.4793333333333,252.27933333333334,242.67933333333332,3.879111791152941,0.40840277777777784,0.0,0.0,241.69,283.03,262.36,16.206553186818347,0.11877116594097725,7.292870900000001,9.254768087445859,-8.42846629710948,-7.094317787613868,-1.3341485094956127,250.15416666666667,255.082,251.503252184389,259.9317184814985,0.48982047010919894,1.037479178234314,-0.5476587081251151,-0.37365222995563097,13.942999146043599,6.197999999999979,754.8946804301481,831.6966962400663,-76.8020158099182,251.105,262.36,256.7325,262.36,0.0,0.0,0.0,0.0,-60.54842215795011,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,256.2938877154027,0.0,0.0,24.106549674354753,0.8490273813879938,0.0,0.0,-86.34164924332404,57.77801129523974,11.877116594097725,9.796806966618272,-88.12288340590227,-8.856999999999971,-10.127920113706764,-3.242569374121768,-2.694945818376171,-0.5476235557455968,-7.1211866849159575,-5.740154383299123,-1.3810323016168349,247.5973985248067,1.0076185795035775,1.002575948858997,-11.06783511846804,24.106549674354753,-8.42846629710948,-7.094317787613868,-1.3341485094956127,255.082,278.03226762371196,232.13173237628806,0,0,0,-0.5837346847185318,0.41957835511906555,-1.515804559144526,-0.8026414328410824,0,0,0,1,1,0,0,1.0,1.0,0.0,0.0,1.0
2022-12-27,243.15,244.6,242.22,244.2,276115280.0,39063326955.0,1768920554.551738,-1280038317.0,0.2697228989924373,-750233041.9892027,-1.473949576423301,-4.021394623537168,-46799904.41175023,251.4402907231078,19.244976964445087,890.9667635098627,254.401875,277.23932912556967,231.56442087443028,17.953841044268792,0.27664158745747464,0.0,0.0,246.14333333333335,250.83333333333331,241.45333333333332,3.81078775239359,0.29282160625444253,0.0,0.0,241.69,283.03,262.36,16.249880233783646,0.06071601354620204,7.001583810000001,9.700615391264513,-8.386731076135277,-7.352800445318151,-1.0339306308171263,248.73083333333332,254.401875,250.37967492525223,258.7664060013875,0.42532820057250054,1.0976211627677424,-0.6722929621952418,-0.39265316313097204,14.747019043330024,5.468125000000015,717.9743866263193,810.9543484763066,-92.97996184998726,244.70499999999998,262.36,253.5325,262.36,0.0,0.0,6.020735284087026,30.641156810585912,-69.4561370782205,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,254.5414211895544,0.0,0.0,22.1083222057095,0.7129808379986137,0.577213585468626,0.0,-84.69939255612418,57.33219632630837,7.675840978593247,8.493140348774741,-92.32415902140676,-8.780499999999961,-6.537048377219835,-3.2410432272612337,-2.8041653001531834,-0.4368779271080503,-9.014098339589404,-6.394943174557179,-2.6191551650322253,247.24080623567335,-0.9732360097323589,-0.9780029053639616,-11.933354971329669,22.1083222057095,-8.386731076135277,-7.352800445318151,-1.0339306308171263,254.401875,277.23932912556967,231.56442087443028,0,0,0,-0.6181400880749268,0.26545134027045,-1.2166653995097374,-0.6914015356227631,1,0,0,1,1,1,0,1.0,0.0,0.0,1.0,0.0
2022-12-26,244.64,245.73,241.7,243.14,298063868.0,38894316963.0,1683865108.3482637,-1578102185.0,0.24559197765748628,-688192278.8593168,0.4123780612012895,-1.9751882444623876,-48093711.53738495,249.21525524344906,20.152601412188503,890.9667635098627,253.73941176470586,276.52003559605276,230.958787933359,17.955920740031907,0.2673590538350238,0.0,0.0,244.98433333333332,248.59533333333334,241.3733333333333,2.9479436099995664,0.2446229114741998,0.0,0.0,241.69,283.03,262.36,16.292305445373543,0.03507498790517633,6.704425429000001,9.872527024028775,-8.343015662823433,-7.550843488819207,-0.792172174004226,247.33666666666662,253.73941176470586,249.26587878290573,257.60889444572916,0.4822346124412377,1.001311905542801,-0.5190772931015633,-0.4083956836687076,15.577228183090543,2.6805882352941524,680.418667151538,788.0029714938132,-107.58430434227523,244.70499999999998,262.36,253.5325,262.36,0.0,0.0,6.896959975172767,29.421819944199207,-66.85561499907122,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,252.99925064680787,0.0,0.0,21.269729383262145,0.83891090833279,0.8003063759064659,0.0,-83.37300989386205,55.505433825933245,6.817113305124541,8.790023625938503,-93.18288669487546,-8.433000000000021,-6.437834301766275,-3.2386364922586433,-2.8910595385742757,-0.3475769536843676,-10.026320741223756,-7.1212186878904955,-2.9051020533332608,246.5013712250914,-0.43407043407043266,-0.435015254895621,-12.315626239676881,21.269729383262145,-8.343015662823433,-7.550843488819207,-0.792172174004226,253.73941176470586,276.52003559605276,230.958787933359,1,1,1,-0.7238254893129189,0.059211475294579874,-1.3114063836462815,-0.5197694672110614,1,0,0,1,1,0,1,0.0,0.0,1.0,0.0,0.0
2022-12-25,246.15,246.18,243.95,244.64,280627376.0,39133349164.0,1576899516.5993829,-1297474809.0,0.22094773972391477,-529744658.450843,1.072774881378659,-1.4446226573914465,-46362441.223985285,248.19678941860116,25.89241551972043,896.4633915647479,253.23388888888888,275.761727606439,230.70605017133875,17.792120017107706,0.3092606885942881,0.0,0.0,244.88533333333334,248.51433333333335,241.25633333333332,2.963836135551893,0.46619821805823264,0.0,0.0,241.69,283.03,262.36,16.32482926411902,0.07135945815191075,6.337982886100003,9.87618310034179,-8.094030473900233,-7.659480885835412,-0.43454958806482047,246.35500000000002,253.23388888888888,248.55420512399715,256.6482355978974,0.5789737799523276,0.9856981558148286,-0.406724375862501,-0.4194825729927784,16.368944971597987,5.88611111111112,649.2882695552078,763.1722653770937,-113.88399582188595,244.69,262.36,253.525,262.36,0.0,0.0,7.14452714550695,28.500471692623837,-54.93950220081733,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,251.64214056919093,0.0,0.0,25.572037996651474,1.0,0.8506305821104679,0.74271684782852,-81.48576904023712,56.50188478917674,15.666489644184765,10.053147975967514,-84.33351035581524,-8.008555555555517,-4.594025427033785,-3.153744834849176,-2.943596597829256,-0.21014823701991991,-11.154121801971346,-7.927799310706666,-3.22632249126468,246.47301492760482,0.6169285185489759,0.6150333053104085,-11.774676331638368,25.572037996651474,-8.094030473900233,-7.659480885835412,-0.43454958806482047,253.23388888888888,275.761727606439,230.70605017133875,1,1,0,-0.7301359753055273,-0.2754675687218032,-0.7507508659893737,-0.6322775321504972,0,0,0,1,0,1,1,0.0,1.0,0.0,0.0,1.0
2022-12-24,245.89,248.27,244.45,246.15,388929772.0,39375368363.0,1534137604.4946723,-908545037.0,0.20384747192229216,-370169142.14072156,1.2719262849335262,-1.0342342992671538,-43961836.43441687,247.2036917832332,33.84251188014311,896.4633915647479,252.86105263157893,275.01508840005744,230.70701686310042,17.52269520190376,0.3485365668424254,0.0,0.0,245.01600000000002,248.42399999999998,241.608,2.781859143892633,0.6663732394366225,0.0,0.0,241.69,283.03,262.36,16.348899749394292,0.1078858248669572,6.086184597490005,9.823926772331289,-7.686261103958714,-7.664836929460073,-0.02142417449864098,245.27416666666667,252.86105263157893,248.18432741261296,255.87058851657167,0.6445938954992236,0.9364976720124156,-0.291903776513192,-0.4251137875435732,17.19586582986423,-6.731052631578933,622.624664179928,736.7540586097255,-114.12939442979746,244.985,262.36,253.6725,262.36,0.0,0.0,9.078340014981071,27.34181164390507,-44.00614557326681,140.19512164579157,144.91078703907814,4.0,32.0,-28.0,240.48,250.447883700888,0.0,0.0,29.734699487901437,1.0,0.94630363611093,0.865746864709288,-79.10131734394447,53.35216948363467,23.685608072225236,15.389737007178178,-76.31439192777476,-7.315473684210531,-5.005402902130287,-3.0039642885571065,-2.955670135974826,-0.048294152582280425,-9.54462293278684,-8.251164035122702,-1.293458897664138,246.47055539847932,0.6172334859385398,0.6153364023457897,-11.230120090879591,29.734699487901437,-7.686261103958714,-7.664836929460073,-0.02142417449864098,252.86105263157893,275.01508840005744,230.70701686310042,1,1,1,-0.7824568342299029,-0.214848812697826,-1.074626873825183,-1.2483869836355908,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0
2022-12-23,246.07,248.03,240.48,245.89,543367184.0,39334222657.0,1769476768.9555979,-1451912221.0,0.21928567588351422,-337470045.8120486,-2.9248637878727797,-1.2210455996756635,-44535776.99033812,246.31029324539762,32.664848351973305,896.4633915647479,252.5125,274.3183339670832,230.70666603291676,17.27109269211087,0.34814843564348585,0.0,0.0,245.02233333333334,248.89433333333335,241.15033333333335,3.160528223957816,0.6120437327823652,0.0,0.0,240.48,283.03,261.755,16.850650957873366,0.12714453584018798,6.2325661377410055,9.712124911569225,-7.299931698973637,-7.591855883362785,0.29192418438914824,245.2541666666667,252.5125,247.83135396451866,255.1312856634923,0.6130272952853597,0.9377171215880888,-0.32468982630272913,-0.4262400796489363,18.187773771134548,-6.972499999999997,596.8557038174172,710.3101819661838,-113.45447814876661,244.375,261.755,253.065,261.755,0.0,0.0,8.355342945421643,29.35199711586991,-53.26454075736476,140.19512164579157,144.91078703907814,4.0,76.0,-72.0,240.48,249.39693765678146,0.0,0.0,29.429489472752678,0.9843066420056727,0.9947688806685576,0.9305676996299853,-77.09885491725579,54.5624348262368,26.99600798403193,22.11603523348064,-73.00399201596807,-7.098749999999967,-0.097509446227607,-2.861245213416103,-2.9367851514630816,0.07553993804697878,-4.897018196003007,-7.580334867298763,2.6833166712957564,246.46001858603185,-0.10562665041642383,-0.10568247467652725,-11.323884741606271,29.429489472752678,-7.299931698973637,-7.591855883362785,0.29192418438914824,252.5125,274.3183339670832,230.70666603291676,1,1,0,-0.6296159580010682,0.17886121824181272,-1.2576686244892796,-0.5201185059493122,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0
2022-12-22,251.69,251.69,245.76,246.05,479296549.0,39359267890.0,1337059140.4311492,-972615672.0,0.12332439841896713,-278304689.57603997,5.530417453516867,-0.11854532001648048,-44223899.94027498,245.35747824681036,43.310566762627495,897.0467180223119,250.9505,269.69357602822976,232.20742397177025,14.937667809571808,0.369271724859379,0.0,0.0,245.171,249.38900000000004,240.95299999999997,3.440863723686759,0.6041963015647224,0.0,0.0,240.48,283.03,261.755,16.95553505571815,0.13090481786134017,6.202309523966905,9.553110805374365,-6.901298328128092,-7.453744372315847,0.5524460441877546,245.29666666666665,252.2047619047619,247.55729950843886,254.45859783656695,0.7767396457955654,0.8990377911030535,-0.12229814530748806,-0.4233747663738705,19.228913346332163,-6.810500000000019,553.547777108238,681.6318167543204,-128.08403964608237,246.08499999999998,261.755,253.92,261.755,100.00000000000001,0.0,11.723284730629976,27.49954086360058,-24.502506023301514,140.19512164579157,144.91078703907814,4.0,76.0,-72.0,240.48,249.39693765678146,1.0,0.0,29.906299667274794,1.0,0.9947688806685576,0.9786137991493483,-75.29927263299061,46.99606702211654,49.68777876895645,33.45646494173787,-50.31222123104355,-5.896000000000043,0.20770546550461,-2.712149790497801,-2.8918580792700257,0.17970828877222456,-2.6327436320998006,-6.590816620258971,3.95807298815917,246.45749485789003,0.06506974663469389,0.06504858545426373,-11.266183418082154,29.906299667274794,-6.901298328128092,-7.453744372315847,0.5524460441877546,250.9505,269.69357602822976,232.20742397177025,0,0,1,-0.5991741677866635,0.38351331411696127,-1.3280085314729773,-0.505740252747163,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0,1.0
