Date,Volume,Market Cap,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,rsi,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,Gold_Price,Oil_Price,Nasdaq_Open,S&P500_Open,BTC_Open,BTC_Volume,BTC_Market_Cap,Tweets_Count,Tweets_Vader_Sentiment,News_Vader_Sentiment,Price_Direction
2022-12-31,3018513333,146453523490,-1593797214.393958,3018513333,-0.5280073461891706,0.0,0.0,0.0,0.0,1198.6866666666667,50.0,1000.0,1196.77,1196.77,1196.77,0.0,0.0,0.0,0.0,1198.6866666666667,1209.5766666666666,1187.7966666666669,1.8169885930712844,0.41199877563513476,0.0,0.0,1194.2,1205.09,1199.645,0.909949280145715,0.23599632690541472,0.0,0.0,0.0,0.0,0.0,1196.77,1196.77,1196.77,1196.77,0.0,0.0,0.0,38.7860297664415,1.0,-344.2770276212831,403.84734980353517,403.84734980353517,0.0,1199.645,1199.645,1199.645,1199.645,0.0,0.0,0.0,0.0,0.0,853.0445188086854,879.6228841940531,0.0,0.0,0.0,1188.36,1205.09,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,23.599632690541473,23.599632690541473,-76.40036730945853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.77,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1196.77,1196.77,1196.77,1797.7,75.89,10368.370117,3829.06,16603.67,11239186456.0,318516317872.0,35625,0.119512253,-0.06886383,0
2022-12-30,4055668253,146754748633,903069239.2374945,7074181586,0.12765706227059442,9976943902.380148,-1.760326425791596,-1.760326425791596,8336559.157048158,1197.2839788497026,0.0,1000.0,1198.0,1200.46,1195.54,0.41068447412354536,0.75,0.0,0.0,1197.4633333333334,1210.1933333333332,1184.7333333333336,2.126161135066035,0.5693898926420534,0.0,0.0,1187.46,1205.09,1196.275,1.471619365609339,0.6676120249574623,0.0,0.0,0.19623931623937096,0.039247863247874194,0.15699145299149678,1198.0,1198.0,1197.1484615384616,1196.9522222222222,0.02132544430998373,0.04801629414878852,-0.02669084983880479,0.0004014712517799778,2.0533468633349052,-345.5070276212831,405.2901769468111,404.56876337517315,0.7214135716379246,1196.275,1196.275,1196.275,1196.275,0.0,0.0,0.0,0.0,-66.66666666666667,853.0445188086854,879.6228841940531,0.0,4.0,-4.0,1188.36,1205.09,0.0,0.0,100.0,0.0,0.0,0.0,100.0,46.22937941869627,66.76120249574623,45.18041759314385,-33.23879750425377,0.0,0.0,0.01639491640485361,0.0032789832809707225,0.01311593312388289,2.67292171720264,0.5345843434405281,2.138337373762112,1197.8632693826394,0.20555328091447223,0.20534230921462893,0.20555328091447223,100.0,0.19623931623937096,0.039247863247874194,0.15699145299149678,1198.0,1200.46,1195.54,1797.7,75.89,10368.370117,3829.06,16641.33,15929162910.0,319559502980.0,40485,0.095240277,-0.02436,0
2022-12-29,4132233940,147043867255,3705027614.269097,11206415526,0.3306166548681926,9950722550.297207,0.5747230274189227,-0.5928016991863367,16502961.29658699,1197.5602945032822,50.50500068200233,1000.0,1199.2,1203.1439066926082,1195.256093307392,0.6577562862922202,0.8042668332516654,0.0,0.0,1197.6533333333334,1211.3999999999999,1183.9066666666668,2.2956002850017625,0.6435499515033936,0.0,0.0,1187.46,1205.09,1196.275,1.470146764509663,0.8020419739081094,0.0,0.0,0.5368115518544982,0.138760600969199,0.39805095088529924,1199.2,1199.2,1197.8333136094675,1197.296502057613,0.0640036303512956,0.08173454222748061,-0.017730911876185015,0.001440639531346859,3.1536620264989796,-346.70702762128315,406.6978131841534,405.2784466448332,1.4193665393202082,1196.275,1196.275,1196.275,1196.275,0.0,0.0,0.0,0.0,26.886792452822487,853.0445188086854,879.6228841940531,0.0,4.0,-4.0,1188.36,1205.09,0.0,1.0,100.0,0.0,0.0,0.0,100.0,60.645004849660495,80.20419739081093,56.85501085903288,-19.795802609189067,0.0,0.0,0.04483530611940828,0.011590247848658235,0.03324505827075004,4.814487594248957,1.390564993602214,3.423922600646743,1199.5239415967967,0.19762681053674402,0.19743178566091757,0.4035863198442513,100.0,0.5368115518544982,0.138760600969199,0.39805095088529924,1199.2,1203.1439066926082,1195.256093307392,1797.7,75.89,10321.459961,3805.45,16552.32,14472237479.0,320309344586.0,41316,0.099584127,-0.052278667,1
2022-12-28,4991669631,145623194889,274733318.0842457,6214745895,0.016960851571120414,250150126.55339336,1.7392166633153194,0.18453775498088199,-31727135.587491974,1197.1636991695716,31.38524445547479,1000.0,1196.8975,1205.5741280892983,1188.2208719107018,1.4498531560636094,0.10194790367240936,0.0,0.0,1197.3083333333334,1214.4758333333334,1180.1408333333334,2.8676823708735597,0.286855007038492,0.0,0.0,1185.7,1213.13,1199.415,2.2917584839136236,0.15639810426540116,0.0,0.0,-0.12862970573337407,0.0852825396286844,-0.21391224536205847,1196.8975,1196.8975,1196.6266499772416,1196.755279682975,0.1200846945201774,0.12120561496415587,-0.0011209204439784626,0.0009647984291781201,4.425680298388176,-344.40452762128314,403.99691115375276,404.9580627720631,-0.961151618310339,1199.415,1199.415,1199.415,1199.415,0.0,0.0,0.0,0.0,-65.61014263074942,853.0445188086854,879.6228841940531,12.0,12.0,0.0,1188.36,1205.09,1.0,0.0,27.127046345399904,0.0,0.0,0.0,90.02790555435233,42.667831658657235,15.639810426540116,54.20173677103242,-84.36018957345989,0.0,0.0,-0.010748204575913679,0.007122557363743853,-0.01787076193965753,8.296948510715264,2.7718416970248243,5.52510681369044,1195.4319449360141,-0.9662117177097085,-0.9709098300947794,-0.5665248961788771,27.127046345399904,-0.12862970573337407,0.0852825396286844,-0.21391224536205847,1196.8975,1205.5741280892983,1188.2208719107018,1797.7,75.89,10339.200195,3829.56,16716.4,17005713920.0,318567071312.0,42534,0.084049846,-0.066366667,0
2022-12-27,4091530737,148414001604,-1517397192.3309662,10306276632,-0.07478688607307186,13541114508.988596,11.233629405336172,2.9468106675697046,46665876.79378806,1201.0367724994126,47.84199838461441,1019.1598248724778,1200.076,1214.9713984840957,1185.1806015159043,2.4824091947669515,0.9267760950999422,0.0,0.0,1201.1206666666667,1219.7586666666668,1182.4826666666668,3.1034350698042603,0.813052187287615,0.0,0.0,1185.7,1230.42,1208.06,3.726430659391574,0.6057692307692286,0.0,0.0,1.170282468016694,0.30228252530628635,0.8679999427104077,1200.076,1200.076,1199.1133192115121,1197.9430367434954,0.20851493929896833,0.12637336267938515,0.08214157661958318,0.0032134775607871643,5.7365483825930195,-347.5830276212831,407.7253876374134,405.51152774513315,2.2138598922802544,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,166.66666666666666,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1188.36,1205.09,0.0,0.0,71.32319582711963,0.0,0.0,0.0,84.11806575678244,47.75435380384954,60.57692307692286,52.1403102980913,-39.42307692307714,0.0,0.0,0.09769099465680821,0.025236244822356726,0.07245474983445148,8.759232808427479,3.9693199193053554,4.789912889122123,1202.8868182591877,1.9159824872477804,1.8978586762605332,1.3386030732722265,71.32319582711963,1.170282468016694,0.30228252530628635,0.8679999427104077,1200.076,1214.9713984840957,1185.1806015159043,1797.7,75.89,10462.19043,3843.34,16919.29,15748580239.0,321717198701.0,39816,0.09760225,-0.054125581,0
2022-12-26,3282098400,150149593574,1764701207.6690338,13588375032,0.0748652043571657,18255263195.13311,0.9601128960667021,2.549471113269104,85040331.8206274,1204.0614897233381,56.294806406215464,1031.0758913940454,1204.5583333333334,1228.7806437562106,1180.3360229104562,4.021774579541963,0.962624462229242,0.0,0.0,1204.7272222222223,1222.363888888889,1187.0905555555555,2.9279103752855242,1.130583380583376,1.0,0.0,1185.7,1230.42,1208.06,3.7125640795035544,0.9228533094812155,0.0,0.0,3.305780239837759,0.9029820682125809,2.402798171625178,1204.5583333333334,1204.5583333333334,1203.398962409741,1200.0931821699032,0.2474692693872761,0.15710115693699955,0.09036811245027654,0.009498272812991012,6.920106044965671,-352.0653609546165,412.9832999939531,406.7568231199364,6.226476874016669,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,121.53287404522901,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1185.7,1205.09,0.0,0.0,79.60693793015747,0.0,0.0,0.0,81.17364560258233,53.76378974691748,92.28533094812155,56.16735481719485,-7.7146690518784515,1.0333333333330756,0.0,0.27546029666300886,0.07528105519048717,0.2001792414725217,7.228222539342316,4.6211004433127485,2.607122096029568,1213.2340419057919,1.169204891201292,1.1624225062729643,2.523458977079973,79.60693793015747,3.305780239837759,0.9029820682125809,2.402798171625178,1204.5583333333334,1228.7806437562106,1180.3360229104562,1797.7,75.89,10437.75,3815.11,16842.25,11886957804.0,325604307791.0,36179,0.09331004,-0.035238806,1
2022-12-25,3942720070,149169092950,3891380518.1539,9645654962,0.1414305112245156,11135770201.442673,-3.532916299583983,1.5357398777935896,59301163.1688267,1205.6862577065822,47.16745342576097,1031.0758913940454,1206.6157142857141,1231.202107403262,1182.0293211681662,4.07526486294809,0.7510389721515408,0.0,0.0,1206.2519047619046,1224.1976190476191,1188.3061904761905,2.9754505198906207,0.8540704771002483,0.0,0.0,1185.7,1230.42,1208.06,3.7062338464962834,0.743738819320214,0.0,0.0,4.302243961466047,1.5828344468632742,2.7194095146027726,1206.6157142857141,1206.6157142857141,1205.7929681928579,1201.4907242313918,0.25448704823833784,0.19724026354407997,0.05724678469425787,0.01688980450077509,8.09872823366441,-354.12274190699725,415.3966699794443,407.99108695700903,7.40558302243528,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,59.66731446725075,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1187.4888,1205.09,0.0,0.0,67.70873230307674,0.0,0.0,0.0,74.82720999697756,55.63365863645661,74.3738819320214,75.74537865235527,-25.6261180679786,3.5499999999999545,0.0,0.35807550359727036,0.1318399448718438,0.22623555872542656,7.407357838043841,5.178351922258967,2.2290059157848736,1215.637429090079,-0.6528276974987146,-0.6549679373158313,1.8541574404438599,67.70873230307674,4.302243961466047,1.5828344468632742,2.7194095146027726,1206.6157142857141,1231.202107403262,1182.0293211681662,1797.7,75.89,10437.75,3815.11,16847.51,11656379938.0,324093186301.0,30277,0.118710359,-0.047619444,0
2022-12-24,2626153345,149436675609,4213137929.151616,12271808307,0.13978287251159238,10366556719.172312,2.28596133254363,1.6429143713293095,64019345.73884565,1207.0031200472415,52.337589200152195,1032.9283362668493,1208.4325,1233.359378565115,1183.5056214348847,4.125489601631072,0.7550961197724563,0.0,0.0,1208.0704166666667,1224.8441666666668,1191.2966666666666,2.776949053397491,0.8898825049059796,0.0,0.0,1185.7,1230.42,1208.06,3.70066180775509,0.7927101967799648,0.0,0.0,5.208621589961467,2.307991875482913,2.900629714478554,1208.4325,1208.4325,1208.1555884708798,1202.9469668809184,0.29274948201994705,0.20829012925896684,0.08445935276098021,0.025027093559579206,9.147344323103251,-355.939527621283,417.5278144852064,409.1831778980337,8.344636587172715,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,78.85451753197277,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1189.206048,1205.09,0.0,0.0,69.06988956291953,0.0,0.0,0.0,70.74531450875448,58.062705751005986,79.27101967799648,81.97674418604647,-20.728980322003526,6.6056250000001455,0.0,0.4329884636117194,0.19206964861981893,0.24091881499190046,4.524695437843533,5.04762062537588,-0.5229251875323468,1217.9514241699908,0.17966135065958788,0.17950015269976305,2.037149995404297,69.06988956291953,5.208621589961467,2.307991875482913,2.900629714478554,1208.4325,1233.359378565115,1183.5056214348847,1797.7,75.89,10437.75,3815.11,16796.98,9744636213.0,324190184506.0,31346,0.10403726,-0.1154175,1
2022-12-23,4835831923,149315624697,3040415746.1898303,7435976384,0.08692758659059965,8201695244.466261,0.1980776038646462,1.4623097753962266,60098882.56579579,1208.9452385147347,59.616187678658264,1032.9283362668493,1209.7355555555557,1234.3657197380032,1185.1053913731082,4.0719914479386246,0.7116194672358955,0.0,0.0,1209.5125925925925,1225.645925925926,1193.3792592592592,2.667741275640876,0.8299816345270925,0.0,0.0,1185.7,1230.42,1208.06,3.6966756738387287,0.7705724508050092,0.0,0.0,5.780414642600817,3.002476428906494,2.7779382136943234,1209.7355555555557,1209.7355555555557,1210.0024210138215,1204.2220063712207,0.30739418237156,0.22133956501321822,0.0860546173583418,0.03310052449154078,10.138873251561227,-357.2425831768388,419.056338001265,410.2801956872816,8.776142313983371,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,70.90193162678538,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1190.85460608,1205.09,0.0,0.0,67.68100619054451,0.0,0.0,0.0,67.39266977229845,55.33560220230077,77.05724508050093,76.90071556350627,-22.94275491949907,9.509888888888554,0.0,0.4800123741318602,0.2496581937222272,0.230354180409633,7.14900624581917,5.467897749464538,1.681108496354632,1218.8758958775925,-0.08107112148384443,-0.08110400188972022,1.9544273335728723,67.68100619054451,5.780414642600817,3.002476428906494,2.7779382136943234,1209.7355555555557,1234.3657197380032,1185.1053913731082,1797.7,75.89,10437.75,3815.11,16829.64,15329265213.0,323203056786.0,38289,0.095744612,-0.035277215,1
2022-12-22,5297471739,149073659685,7179920340.864542,2138504645,0.17827729321519162,5531596774.7967825,-11.144072664962193,0.061600615356402204,51502473.862658665,1208.9655952413032,51.144048461574776,1032.9283362668493,1210.58,1234.4892367088537,1186.6707632911462,3.950046541137929,0.6589343920206746,0.0,0.0,1209.4713333333334,1227.4773333333335,1191.4653333333333,2.9774992600072787,0.7418267984745812,0.0,0.0,1185.7,1230.42,1208.06,3.6940970443919467,0.7262969588550984,20.097000000000026,0.0,6.004578263414032,3.602896795808002,2.4016814676060303,1210.58,1210.58,1211.2605100886183,1205.2559318252042,0.29870437064663197,0.2805904658751549,0.018113904771477063,0.04039294229825225,11.344437785713925,-358.087027621283,420.04689683495025,412.0801453574388,7.966751477511423,1208.06,1208.06,1208.06,1208.06,0.0,0.0,0.0,0.0,-2.5248747761832426,853.0445188086854,879.6228841940531,16.0,12.0,4.0,1190.85460608,1230.42,0.0,1.0,64.87140300425222,0.0,0.0,0.0,64.03373768873625,60.45756547977201,72.62969588550983,76.31932021466908,-27.370304114490164,7.274000000000115,0.0,0.4981994367221968,0.29936644232222115,0.19883299439997565,9.911310006650394,6.35658020090171,3.5547298057486847,1218.5862811832508,-0.16227380015735315,-0.16240560669942283,1.7889820099100229,64.87140300425222,6.004578263414032,3.602896795808002,2.4016814676060303,1210.58,1234.4892367088537,1186.6707632911462,1797.7,75.89,10586.459961,3853.26,16818.38,16441573050.0,323831438044.0,41898,0.092557885,-0.033695,1
