Date,Open*,High,Low,Close**,Volume,Market Cap,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,rsi,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,BTC_Volume,BTC_Market_Cap,Tweets_Count,Tweets_Vader_Sentiment,News_Vader_Sentiment,Monero_Change,Gold_Price_binary,Oil_Price_binary,Nasdaq_Close_binary,S&P500_Close_binary,BTC_Close_binary,BTC_Volume_binary,BTC_Market_Cap_binary,Tweets_Count_binary,Tweets_Vader_Sentiment_binary,News_Vader_Sentiment_binary,Monero_Change_lag_1,Monero_Change_lag_2,Monero_Change_lag_3,Monero_Change_lag_4,Monero_Change_lag_5
2022-12-31,145.64,146.43,144.42,146.02,66830282.0,2660561482.0,233947314.0345831,-290653853.0,0.28299018181488217,-123871032.04475711,-4.466313639077608,-6.483775152933958,-7825733.531700864,153.46709197054457,17.408884836527847,972.1709724765618,152.665,162.4316934015561,142.8983065984439,12.794934531891524,0.15981321790334616,0.0,0.0,150.89299999999997,154.05900000000003,147.727,4.196351056709074,-0.2695830701200233,0.0,1.0,144.42,162.77,153.595,12.019781875348,0.08719346049046435,4.075360000000002,0.0,-3.7392144212978735,-2.5072630541078658,-1.2319513671900078,152.665,152.665,151.7170553530923,155.45626977439017,0.25794543143123416,0.5842513478859997,-0.3263059164547656,-0.21668641161006708,10.832299917710698,8.875,300.5082819439251,336.03142403950267,-35.523142095577555,151.265,153.595,152.43,153.595,0.0,0.0,0.0,0.0,-103.53476785637605,117.18616351772496,121.54298184651344,0.0,44.0,-44.0,141.93,153.8089055147552,0.0,0.0,9.419080028450793,0.0,0.0,0.0,-95.18326818330632,51.07713200922496,8.719346049046434,10.865316899325997,-91.28065395095356,-4.720666666666688,0.0,-2.405315930148397,-1.5984834163213422,-0.8068325138270547,-16.013761106370186,-10.962769346436167,-5.0509917599340195,148.36452247063642,-0.8555133079847899,-0.8591938296882873,-9.607527547356675,9.419080028450793,-3.7392144212978735,-2.5072630541078658,-1.2319513671900078,152.665,162.4316934015561,142.8983065984439,-0.5153764839504379,0.11836679084841943,0.2977479823673534,-0.6531707841399498,-0.7166110202555657,1,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1.0
2022-12-30,146.78,146.88,145.02,145.64,60893067.0,2653635751.0,213649625.03458184,-351546920.0,0.2407073717121722,-109480793.96122059,1.6036308369883927,-5.809824653773762,-7984200.62839996,152.94429349197563,23.535432070145134,969.6410110360665,152.1246153846154,162.22746072757042,142.02177004166037,13.282328198381416,0.17906984792470856,0.0,0.0,149.859,152.774,146.94400000000002,3.8903235708232295,-0.22367066895369367,0.0,1.0,144.42,162.77,153.595,12.062479141594455,0.06648501362397806,3.8538240000000004,0.0,-3.947014919682033,-2.7952134272226994,-1.1518014924593336,151.34,152.1246153846154,150.78212376030885,154.72913867999088,0.2792729392601401,0.5877332933060488,-0.30846035404590877,-0.24436149327133555,11.60731803022857,6.745384615384609,290.28113418635013,328.1677125226321,-37.88657833628196,151.265,153.595,152.43,153.595,0.0,0.0,0.0,0.0,-89.72076106530196,117.18616351772496,121.54298184651344,0.0,44.0,-44.0,141.93,152.11890252209926,0.0,0.0,9.12593753407667,0.0,0.0,0.0,-94.72974122011709,43.92890059249515,6.6485013623978055,8.713245604121973,-93.35149863760219,-4.720000000000027,-9.842763402253315,-2.5509189499498257,-1.788970523047039,-0.7619484269027867,-15.613476828792901,-11.892910842907515,-3.7205659858853863,147.64095409263027,-0.26023832351734777,-0.260577532070716,-9.842763402253318,9.12593753407667,-3.947014919682033,-2.7952134272226994,-1.1518014924593336,152.1246153846154,162.22746072757042,142.02177004166037,-0.38459899164864114,0.1216852525515618,0.5676254547495221,-1.1603408033284257,-0.3631530161899742,1,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,1.0,1.0
2022-12-29,145.41,146.83,143.87,146.79,61169572.0,2674453848.0,273165965.3589053,-290377348.0,0.2879188482536583,-83791393.7096176,-2.9034043265824847,-5.586253859374432,-7501194.532547172,152.48561251648343,21.903458533843988,969.6410110360665,151.7435714285714,161.85925545217088,141.62788740497194,13.33260305971,0.2551539066950418,0.0,0.0,148.926,151.927,145.925,4.03018949008231,0.14411862712428913,0.0,0.0,143.87,162.77,153.32,12.45522286187695,0.1544973544973538,3.7644416000000014,6.8249673864308695,-3.9731034592174126,-3.0307914336216424,-0.9423120255957702,150.33333333333334,151.7435714285714,150.16795087410748,154.1410543333249,0.28953669248738284,0.6009921684723686,-0.31145547598498574,-0.2683037308020865,12.428882982509233,3.9064285714285916,281.05110396298346,319.83173964228575,-38.78063567930229,149.89499999999998,153.32,151.6075,153.32,0.0,0.0,0.0,0.0,-82.61936872092501,117.18616351772496,121.54298184651344,0.0,52.0,-52.0,141.93,150.7331000681214,0.0,0.0,17.49452200099246,0.1749452200099246,0.0,0.0,-93.25324705962832,52.85572289822887,15.449735449735378,10.272527620393205,-84.55026455026461,-4.954571428571427,-7.603701139296287,-2.57757641298191,-1.9466917010340132,-0.6308847119478969,-15.114057495672961,-12.537140173460605,-2.5769173222123563,147.4715546030269,0.7896182367481464,0.7865170661909282,-9.130865420329325,17.49452200099246,-3.9731034592174126,-3.0307914336216424,-0.9423120255957702,151.7435714285714,161.85925545217088,141.62788740497194,-0.42522458032817323,0.1240705633021192,0.6137711707062262,-1.0695747903819786,-0.5848884559036324,0,0,0,1,1,1,0,1,0,1,1,1.0,0.0,1.0,1.0,1.0
2022-12-28,146.76,147.22,144.14,145.41,66100579.0,2649185282.0,261576902.80695748,-356477927.0,0.2577465689347636,-84852451.61110076,1.5376567276361606,-5.07740310315939,-8122618.328582319,151.09295109559042,20.378958581245044,969.6410110360665,151.32133333333334,161.5921278281889,141.0505388384778,13.574813634810976,0.21222609232936057,0.0,0.0,147.95166666666668,150.72966666666667,145.17366666666666,3.755280440684465,0.042536597072234325,0.0,0.0,143.87,162.77,153.32,12.489977178807134,0.08148148148148103,3.695997440000002,7.190782754388955,-4.058351135956315,-3.236303374088577,-0.8220477618677378,149.48,151.32133333333334,149.4359584319371,153.49430956789342,0.5957079900364052,1.154818930829661,-0.5591109407932559,-0.2899566462096315,13.295109130329818,4.538666666666671,271.4404613910224,310.66436135009246,-39.22389995907008,148.18,153.32,150.75,153.32,0.0,0.0,0.0,0.0,-80.25483998419575,117.18616351772496,121.54298184651344,0.0,52.0,-52.0,141.93,149.36048005449712,0.0,0.0,15.633949128715571,0.8936482590280923,0.0,0.0,-92.06738183644009,55.35497443854062,9.282700421940879,10.46031241135802,-90.71729957805913,-4.986333333333363,-6.5788628332798,-2.643974976910287,-2.086148356209268,-0.557826620701019,-13.978096135683234,-12.825331365905132,-1.152764769778102,147.0444093921457,-0.9401185366850529,-0.9445655443747647,-9.985142998638107,15.633949128715571,-4.058351135956315,-3.236303374088577,-0.8220477618677378,151.32133333333334,161.5921278281889,141.0505388384778,-0.3545799408487826,0.1185282419136725,0.6814071298341031,-1.39416812356792,-0.6967780699273255,1,0,0,0,0,0,1,0,1,0,0,0.0,1.0,1.0,1.0,0.0
2022-12-27,145.25,147.22,144.49,146.78,58136569.0,2674136739.0,300973478.8692286,-298341358.0,0.28049785833430324,-61352515.73380062,0.8217719212154218,-4.166977571296014,-7574876.773462314,149.91725324029213,28.124395008270724,978.7766150875033,151.0375,161.22228399378207,140.85271600621792,13.486430845031302,0.2909872215945255,0.0,0.0,147.14766666666668,149.68366666666665,144.61166666666668,3.446877626329995,0.4275105152471083,0.0,0.0,143.87,162.77,153.32,12.51344864685923,0.15396825396825375,3.5993976960000005,7.346203700884095,-3.969603861196674,-3.3829634715101964,-0.5866403896864778,148.72333333333333,151.0375,149.02734944240834,152.996953303605,0.6466721446179128,1.1407148726376333,-0.4940427280197205,-0.30697206984466635,14.17880295878314,4.052500000000009,252.97430801219295,300.3224506662883,-47.34814265409537,146.745,153.32,150.0325,153.32,0.0,0.0,6.675131507346233,25.122437874115818,-68.0952771496527,117.18616351772496,121.54298184651344,0.0,52.0,-52.0,141.93,148.2623840435977,0.0,0.0,24.247242045661935,1.0,0.6895311596793391,0.0,-89.72008447933082,60.97057948670751,19.70209884901828,14.811511573564848,-80.29790115098173,-4.885187500000029,-5.825741049659959,-2.594563993257727,-2.18783148361896,-0.40673250963876706,-13.890065882473568,-13.03827826921882,-0.8517876132547482,146.99765436783252,0.9421635375833848,0.93775285915223,-9.137055837563446,24.247242045661935,-3.969603861196674,-3.3829634715101964,-0.5866403896864778,151.0375,161.22228399378207,140.85271600621792,-0.3896344431265262,0.1285490685342308,0.5304756545388902,-1.1109866884540265,-0.5995570032201396,0,0,0,0,0,0,1,0,1,1,0,1.0,1.0,1.0,0.0,0.0
2022-12-26,143.47,145.48,143.34,145.28,49253630.0,2646679381.0,341020822.8879207,-347594988.0,0.3038721347422009,-63142219.91468625,-6.278318978722982,-4.092124900499204,-8078218.134683189,148.97027452005418,29.516130994507577,968.7741288997988,150.69882352941178,160.9442606942653,140.45338636455827,13.597235764556473,0.23554942350333283,0.0,0.0,146.56533333333334,148.90033333333332,144.23033333333333,3.186292347440041,0.22476802284082864,0.0,0.0,143.34,162.77,153.055,12.893265882867272,0.09984559958826542,3.5834579264,7.506219400842983,-3.974492989391308,-3.5012693750864186,-0.4732236143048896,147.90583333333333,150.69882352941178,148.4508341435763,152.4253271329676,0.6130050505050505,1.1199494949494946,-0.5069444444444441,-0.32145448848193653,15.047132224867026,5.221176470588205,237.40747986696093,289.1780692250703,-51.77058935810939,146.48000000000002,153.055,149.7675,153.055,0.0,0.0,6.224671486236365,25.683075423297176,-84.58995051573457,117.18616351772496,121.54298184651344,0.0,64.0,-64.0,141.93,147.38390723487817,0.0,0.0,21.641966880271,0.8755270529919561,0.9230584373400162,0.0,-87.84979666996881,59.374555792466175,13.134732566012163,14.03984394565711,-86.86526743398784,-4.72776470588235,-6.325359468695598,-2.6075016955182098,-2.27176552599881,-0.33573616951939966,-14.797573382402716,-13.3901372918556,-1.4074360905471153,146.79485302347766,-1.0219375936776132,-1.027195226393296,-10.065618422681688,21.641966880271,-3.974492989391308,-3.5012693750864186,-0.4732236143048896,150.69882352941178,160.9442606942653,140.45338636455827,-0.49731372536150226,0.1409142974396089,0.32851179300515615,-1.2006736685359518,-0.4495545923099796,1,0,0,0,0,1,1,1,1,0,1,1.0,1.0,0.0,0.0,1.0
2022-12-25,143.16,144.07,141.93,143.47,44443531.0,2613671313.0,360542747.71969646,-392038519.0,0.3090292463624959,-65613730.085445374,-6.789289536873147,-4.118242747539292,-8631926.773931539,148.25339582197506,29.99452922759808,956.7044622333021,150.29722222222222,160.7902988932797,139.80414555116474,13.963101268156406,0.1746796751684185,0.0,0.0,146.04266666666666,148.45166666666665,143.63366666666667,3.299035898184994,-0.033969835339699425,0.0,1.0,141.93,162.77,152.35000000000002,13.865858391705327,0.07389635316698617,3.5601121337599992,7.746894812771398,-4.0774175999211195,-3.616499020053359,-0.4609185798677604,146.86833333333334,150.29722222222222,147.68455196764148,151.7619695675626,0.5796596268197663,1.0639737543571868,-0.4843141275374204,-0.3352966102707735,15.908715676947512,0.4427777777777919,223.02977492712284,277.21580189149785,-54.186026964375,145.43,152.35000000000002,148.89000000000001,152.35000000000002,0.0,0.0,5.8132504370025355,26.767465165083916,-100.28152075873952,117.18616351772496,121.54298184651344,0.0,68.0,-68.0,141.93,147.22,0.0,0.0,18.990427977712187,0.748843750708819,0.8747902679002584,0.8291266216398713,-86.42071271574558,57.340903574055844,9.517923362175472,14.11825159240197,-90.48207663782452,-4.919055555555559,-7.984864032837345,-2.686718953068082,-2.3547562114126643,-0.33196274165541784,-16.05135541660338,-13.922380916805157,-2.128974499798222,146.43041018935142,-1.2458700440528658,-1.2536960742685288,-11.186083942057689,18.990427977712187,-4.0774175999211195,-3.616499020053359,-0.4609185798677604,150.29722222222222,160.7902988932797,139.80414555116474,-0.50374326619002,0.13610728979072245,0.0007717020587447338,-0.6699265932000413,-0.5478840079251888,1,0,0,0,0,0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
2022-12-24,145.48,146.65,140.08,143.15,73632350.0,2607904217.0,355723583.2600312,-465670869.0,0.2867982414923753,-59606390.35895311,3.25678862619495,-4.194325019017626,-8796158.683041455,147.1226053436677,28.973051730503585,956.7044622333021,149.92105263157896,160.62142329852185,139.22068196463607,14.27467387550745,0.18360663184794823,0.0,0.0,145.522,148.42000000000002,142.624,3.9829029287667987,0.09075224292615745,0.0,0.0,140.08,162.77,151.425,15.134632262594344,0.1353018951079768,3.8611009203839983,7.979153202910534,-4.137117307886967,-3.720622677620081,-0.4164946302668864,146.23583333333332,149.92105263157896,146.98692858800433,151.1240458958913,0.5724565260843492,1.0557665400759542,-0.483310013991605,-0.34794059270488364,17.008504358786457,-1.4310526315789502,208.6802945853582,264.2215925756273,-55.5412979902691,144.245,151.425,147.835,151.425,0.0,0.0,9.911516540253967,23.488541091998226,-92.67274185080136,117.18616351772496,121.54298184651344,0.0,72.0,-72.0,141.93,147.22,1.0,0.0,18.557537815441663,0.6763482420830261,0.7669063485946004,0.8549183512782917,-85.25941825547046,55.530482237760054,19.381313131313117,14.011323019833583,-80.61868686868688,-4.97852631578948,-5.03515987793552,-2.7375638888976077,-2.431317746909653,-0.3062461419879545,-13.147067120949146,-13.767318157633955,0.6202510366848095,146.08577118077213,-0.22304314490834143,-0.22329225661739116,-11.38417729354958,18.557537815441663,-4.137117307886967,-3.720622677620081,-0.4164946302668864,149.92105263157896,160.62142329852185,139.22068196463607,-0.5570512204476504,0.1364158494376131,0.06013363991399953,-0.9765252772702795,-1.08634924908055,1,0,0,0,0,1,0,1,0,1,0,0.0,0.0,1.0,1.0,0.0
2022-12-23,147.35,147.86,143.85,145.49,63201255.0,2650319469.0,344218117.8859666,-402469614.0,0.2640664935785544,-29963915.064816926,15.798578683287266,-2.0713845688019292,-7763040.019401915,146.32631382000181,37.49466682908032,972.3432218674336,149.6995,160.3062685465461,139.0927314534539,14.170746791467048,0.3015653881044319,0.0,0.0,145.297,148.347,142.247,4.198297280742199,0.5316393442622948,0.0,0.0,140.08,162.77,151.425,15.157031252609393,0.2384310268840898,3.9459908283455993,7.979271725655684,-3.950077280704818,-3.7665135982370286,-0.1835636824677893,145.98583333333332,149.6995,146.7566318821575,150.70670916286232,0.6715063520871142,0.9735833837467225,-0.3020770316596083,-0.35571829163216895,18.118126005359784,-1.7595000000000027,195.8280543379152,251.24454369042567,-55.41648935251047,143.97000000000003,151.425,147.69750000000002,151.425,0.0,0.0,11.274798512588061,21.459102608827358,-55.09237044145843,117.18616351772496,121.54298184651344,0.0,72.0,-72.0,141.93,147.22,0.0,0.0,30.95240996415862,1.0,0.808397330930615,0.816697982475158,-81.8466849714882,54.25406271727356,43.59387590652698,24.16437080000519,-56.40612409347302,-4.764249999999976,-2.0203380699036972,-2.6210361188605993,-2.4692614212998425,-0.1517746975607568,-12.039665988880198,-13.421787723883206,1.3821217350030075,146.0595563024094,1.6346489696122957,1.6214324183173368,-9.935619660765127,30.95240996415862,-3.950077280704818,-3.7665135982370286,-0.1835636824677893,149.6995,160.3062685465461,139.0927314534539,-0.40132681900998574,0.13327571111526826,0.4456808190805422,-1.1498025763778297,-0.4498596439982985,0,0,0,1,1,0,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0
2022-12-22,147.0,148.78,146.6,147.33,57307275.0,2683888837.0,325290944.491472,-345162339.0,0.21776517821104108,-10619729.198414484,6.980440092466443,-0.5377655090150022,-7038279.650991714,145.9650854382303,46.323479734952265,984.6403661951268,148.989,158.1305379450068,139.8474620549932,12.27142667580399,0.4092603449233532,0.0,0.0,145.35066666666665,148.31866666666667,142.3826666666667,4.083916597103084,0.8334456424079071,0.0,0.0,140.08,160.46,150.27,13.678862197880376,0.3557409224730128,3.8803917455110386,7.779885875814976,-3.6117401963802536,-3.735558917865674,0.12381872148542028,145.93499999999997,149.58666666666667,146.84484236182558,150.45658255820584,0.805960264900662,0.9262693156732892,-0.12030905077262721,-0.35693364644375514,19.138604052189727,-0.4089999999999918,177.55637960464946,237.58322120828396,-60.026841603634495,144.43,151.425,147.9275,151.425,100.0,0.0,12.293284829129506,20.149487924077583,-21.21938877860488,117.18616351772496,121.54298184651344,0.0,72.0,-72.0,140.08,147.22,0.0,0.0,38.835190458775266,1.0,0.892116080694342,0.8224732534065192,-77.12654357970582,52.62007657569826,75.99580712788266,46.323665388574256,-24.004192872117336,-4.32242857142856,-0.4123293226983813,-2.4005198941581773,-2.4555131158715096,0.05499322171333221,-11.785431728658965,-13.094516524838358,1.309084796179393,146.06522046949144,1.264691731390477,1.2567612991965404,-8.796582889686755,38.835190458775266,-3.6117401963802536,-3.735558917865674,0.12381872148542028,148.989,158.1305379450068,139.8474620549932,-0.3703107081579939,0.13527464603453995,0.6460898309791526,-1.2163901666810846,-0.437293387208655,0,0,0,0,0,1,1,1,0,0,0,1.0,1.0,0.0,1.0,1.0
