Date,Open*,High,Low,Close**,Volume,Market Cap,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,rsi,macd,macd_signal,macd_diff,bb_bbm,bb_bbh,bb_bbl,BTC_Volume,BTC_Market_Cap,Tweets_Count,Tweets_Vader_Sentiment,News_Vader_Sentiment,Stellar_Change,Gold_Price_binary,Oil_Price_binary,Nasdaq_Close_binary,S&P500_Close_binary,BTC_Close_binary,BTC_Volume_binary,BTC_Market_Cap_binary,Tweets_Count_binary,Tweets_Vader_Sentiment_binary,News_Vader_Sentiment_binary,Stellar_Change_lag_1,Stellar_Change_lag_2,Stellar_Change_lag_3,Stellar_Change_lag_4,Stellar_Change_lag_5
2022-12-31,0.07203,0.07236,0.0712,0.07234,53942462.0,1888841942.0,201370078.23323894,-122763963.0,0.3514966353016228,-11075.62993761956,8.60175792495156e-08,-3.857161602986071e-06,-3166321.7616973026,0.07480497358886169,20.724963335620103,890.3556974548468,0.07474916666666666,0.07998660534305121,0.0695117279902821,14.013370074719827,0.2700052625408759,0.0,0.0,0.07352666666666666,0.07538866666666666,0.07166466666666667,5.064829086952568,0.1813462226996066,0.0,0.0,0.07084,0.0807,0.07577,13.190782505936513,0.1521298174442193,0.0024535299999999976,0.0,-0.0019382833268112437,-0.0013671163213056757,-0.000571167005505568,0.07474916666666666,0.07474916666666666,0.07435037481020389,0.07628865813701513,0.16320536471992808,0.32564961181624585,-0.16244424709631777,-0.24142249800313725,12.304374981770001,0.0048008333333333375,-470.6456092695235,-464.491067252146,-6.15454201737748,0.07335,0.07577,0.07456,0.07577,0.0,0.0,0.0,0.0,-81.11480118481298,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07084,0.07666305530418265,0.0,0.0,23.335479390419465,0.0,0.0,0.0,-76.72852577341736,52.14956771434817,15.21298174442193,11.798512508451685,-84.78701825557806,-0.0019908333333333306,0.0,-2.5407227943766806,-1.7753323371239331,-0.7653904572527475,-6.480110378603454,-5.067143099769542,-1.4129672788339125,0.0728221834547536,1.6725228390723768,1.6586901988090208,-9.063482086737896,23.335479390419465,-0.0019382833268112437,-0.0013671163213056757,-0.000571167005505568,0.07474916666666666,0.07998660534305121,0.0695117279902821,-0.5153764839504379,0.11836679084841943,0.2977479823673534,-0.6531707841399498,-0.7166110202555657,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0
2022-12-30,0.07178,0.07252,0.07086,0.07203,81160229.0,1880733773.0,234616437.10070825,-203924192.0,0.3587113524780879,-13087.635802245393,-1.8408030859546702e-07,-3.551071495120188e-06,-3514119.2594855316,0.0744325059112692,17.990939246790035,890.3556974548468,0.07454,0.07977648149634259,0.0693035185036574,14.050124755413451,0.2603352554808891,0.0,0.0,0.073063,0.074854,0.07127199999999999,4.902618288326534,0.21161362367392667,0.0,0.0,0.07084,0.0807,0.07577,13.227797155889448,0.12068965517241352,0.0023741769999999973,0.0,-0.0019798079085451836,-0.0014896546387535774,-0.0004901532697916063,0.0741225,0.07454,0.07399339407017252,0.07597320197871771,0.17440988160134344,0.3358965570338183,-0.16148667543247489,-0.26656997095053236,13.212742665128038,0.004920000000000008,-469.1303718628802,-466.3913423571873,-2.7390295056929403,0.07308,0.07577,0.074425,0.07577,0.0,0.0,0.0,0.0,-81.00907690116439,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07084,0.07608074977376438,0.0,0.0,22.417231723077066,0.0,0.0,0.0,-72.92792099642709,58.36833951058259,12.068965517241352,10.141987829614617,-87.93103448275865,-0.0021809230769230803,-9.453174104336894,-2.605929271086646,-1.941451723916476,-0.6644775471701703,-0.6821327344554166,-4.190141026706717,3.5080082922513007,0.07270276109180875,-0.4285319325407877,-0.4294527622680455,-9.453174104336892,22.417231723077066,-0.0019798079085451836,-0.0014896546387535774,-0.0004901532697916063,0.07454,0.07977648149634259,0.0693035185036574,-0.38459899164864114,0.1216852525515618,0.5676254547495221,-1.1603408033284257,-0.3631530161899742,1,0,0,0,0,0,1,0,0,0,1,1.0,0.0,0.0,1.0,0.0
2022-12-29,0.07414,0.07447,0.07163,0.07178,62353994.0,1874126584.0,178849132.6077504,-266278186.0,0.24964718980022138,-13444.901901924624,6.19431050399109e-06,-2.8014267259577815e-06,-3730536.009450824,0.0742753310060156,25.616275589519432,887.2654722103138,0.07434285714285714,0.07958529075751376,0.06910042352820052,14.10339558132066,0.25556608521546237,0.0,0.0,0.07278666666666667,0.07474066666666666,0.07083266666666667,5.3691152225682295,0.2424087342204015,0.0,0.0,0.07084,0.0807,0.07577,13.262874711760176,0.09533468559837698,0.0024207592999999973,7.32831592160171,-0.0020097225192080292,-0.0015936682148444679,-0.0004160543043635614,0.07348249999999999,0.07434285714285714,0.07365287190553059,0.07566259442473862,0.20669634807355544,0.3352336959227075,-0.12853734784915208,-0.2888734282530492,14.232732194190747,0.0028271428571428614,-466.8791312755747,-467.58538289041036,0.7062516148356508,0.07266,0.07577,0.074215,0.07577,0.0,0.0,0.0,0.0,-52.12817833507466,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07084,0.07555667479638793,0.0,0.0,21.67644339530655,0.2167644339530655,0.0,0.0,-70.36491338934997,50.38087510760746,9.533468559837697,12.271805273833658,-90.4665314401623,-0.002054285714285703,-9.66524037251448,-2.656163900389505,-2.0843941592110817,-0.5717697411784233,0.8136257851916819,-3.1893876643270374,4.003013449518719,0.07259228967409342,-0.3470776065528258,-0.34768131818103676,-9.76744186046512,21.67644339530655,-0.0020097225192080292,-0.0015936682148444679,-0.0004160543043635614,0.07434285714285714,0.07958529075751376,0.06910042352820052,-0.42522458032817323,0.1240705633021192,0.6137711707062262,-1.0695747903819786,-0.5848884559036324,1,0,0,1,1,1,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0
2022-12-28,0.07519,0.07535,0.07373,0.07414,41785694.0,1935674402.0,158214221.99046615,-224492492.0,0.20867268655822444,2563.546632636042,5.776618188990717e-06,-2.1887092320328885e-06,-2356695.972671778,0.07387215231744088,30.07980960460044,916.4371985187053,0.07432933333333333,0.07939501639575333,0.06926365027091333,13.63037399973093,0.4813121615584371,0.0,0.0,0.072814,0.074602,0.071026,4.911143461422248,0.8708053691275155,0.0,0.0,0.07084,0.0807,0.07577,13.265287818178548,0.3346855983772819,0.002535683369999998,7.54360941806713,-0.0018219949632406474,-0.0016393335645237038,-0.00018266139871694355,0.07323,0.07432933333333333,0.07372781468929511,0.07554980965253576,0.6550387596899222,0.9158361018826134,-0.26079734219269124,-0.30193296314042833,15.220990184224465,0.0013306666666666744,-462.62786771670886,-467.72314244829727,5.095274731588404,0.073095,0.07577,0.0744325,0.07577,0.0,0.0,0.0,0.0,8.526011560693647,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07084,0.07555667479638793,1.0,0.0,41.372191727285156,1.0,0.0,0.0,-59.9736606767655,53.72487509337635,33.468559837728186,18.356997971602407,-66.53144016227182,-0.0015313333333333429,-3.9263962679797912,-2.4116473246196906,-2.1498447922928037,-0.2618025323268869,-1.1026948422326082,-2.7720490999081515,1.6693542576755434,0.07261402072311891,3.2878239063806047,3.2349312003125075,-6.800754242614704,41.372191727285156,-0.0018219949632406474,-0.0016393335645237038,-0.00018266139871694355,0.07432933333333333,0.07939501639575333,0.06926365027091333,-0.3545799408487826,0.1185282419136725,0.6814071298341031,-1.39416812356792,-0.6967780699273255,0,0,0,0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,0.0
2022-12-27,0.07385,0.07525,0.07376,0.07519,32654992.0,1963220715.0,188239281.7488558,-191837500.0,0.2380220024879309,7095.574485116649,-1.596999319430247e-07,-2.0908332879430608e-06,-1894223.0619623025,0.07332753685409184,37.245982417442825,929.416144545744,0.074383125,0.07930561785804459,0.0694606321419554,13.235509688641327,0.5819579655338022,0.0,0.0,0.07295966666666667,0.07474466666666665,0.07117466666666666,4.8931144605009935,1.1247432306255896,1.0,0.0,0.07084,0.0807,0.07577,13.255694756035046,0.4411764705882362,0.0024311150329999975,7.574652030052876,-0.0015703908101238617,-0.0016255450136437354,5.5154203519873664e-05,0.07319083333333333,0.074383125,0.0739527662755574,0.07552315708568126,0.6700909891400056,0.9298503081890225,-0.25975931904901683,-0.30502157617681597,16.17800989813693,0.0006568750000000012,-449.11079104943923,-466.04791122491,16.937120175470795,0.073095,0.07577,0.0744325,0.07577,0.0,0.0,8.164430488153018,23.247420578279826,19.82384028185555,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.0709302,0.07555667479638793,0.0,0.0,47.676518280688605,1.0,0.7389214779843551,0.0,-49.437173360600234,53.53276284507581,67.75700934579454,36.9196792477868,-32.24299065420545,-0.0010041874999999895,-0.6212001057361858,-2.0793500572840835,-2.13574584529106,0.05639578800697631,-4.096507328339196,-3.0369407455943604,-1.0595665827448353,0.07273805495381533,1.4162395468033662,1.4063045667349616,-5.480829666876163,47.676518280688605,-0.0015703908101238617,-0.0016255450136437354,5.5154203519873664e-05,0.074383125,0.07930561785804459,0.0694606321419554,-0.3896344431265262,0.1285490685342308,0.5304756545388902,-1.1109866884540265,-0.5995570032201396,0,0,0,0,0,0,1,0,1,1,0,1.0,0.0,0.0,0.0,1.0
2022-12-26,0.07439,0.0745,0.07299,0.07386,27720364.0,1928352970.0,192461588.84819344,-219557864.0,0.23511968075456924,815.0518272427962,-4.139916777427611e-06,-1.1929649340509115e-06,-2384555.3417867506,0.07315233297146441,38.07195326279424,912.9761462448283,0.07435235294117647,0.07913421341795505,0.06957049246439788,12.862701145616024,0.44851868393406613,0.0,0.0,0.07296466666666666,0.07474066666666666,0.07118866666666668,4.86810967865723,0.752064564564563,0.0,0.0,0.07084,0.0807,0.07577,13.261180863772648,0.30628803245436076,0.0024080035296999984,7.559118679296795,-0.0014614657236634299,-0.0015927291556476744,0.00013126343198424455,0.07309249999999999,0.07435235294117647,0.07393849454085626,0.07539996026451969,0.7403785488958988,0.8873817034700313,-0.1470031545741325,-0.30400888857559016,17.117635112013307,-0.0014623529411764702,-437.13341921750794,-462.7899924244405,25.656573206932592,0.073095,0.07577,0.0744325,0.07577,0.0,0.0,7.647216108928612,23.991943185056993,-15.712762175613266,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.071018596,0.07555667479638793,0.0,0.0,41.57773876010745,0.872080014637909,0.9573600048793031,0.0,-43.35888945862336,51.54385656509136,60.15936254980073,53.79497724444116,-39.84063745019927,-0.000589294117647049,-1.5724946695095956,-1.9382844746022223,-2.0962535711532926,0.15796909655107028,-7.388719435786761,-3.907296483632841,-3.4814229521539204,0.07274291379716138,-1.7688522409895047,-1.784683396551845,-7.152734129478322,41.57773876010745,-0.0014614657236634299,-0.0015927291556476744,0.00013126343198424455,0.07435235294117647,0.07913421341795505,0.06957049246439788,-0.49731372536150226,0.1409142974396089,0.32851179300515615,-1.2006736685359518,-0.4495545923099796,1,0,0,0,0,1,1,1,1,0,1,0.0,0.0,0.0,1.0,0.0
2022-12-25,0.07537,0.07569,0.07424,0.07439,26403141.0,1942257218.0,171521166.67577958,-193154723.0,0.20299041676923713,2697.7108133509782,6.699960432737869e-06,-5.013650158943602e-07,-2195093.3226965796,0.07310291827982951,42.72347082370887,919.5274237632383,0.07435444444444445,0.07900160951681669,0.0697072793720722,12.500033070234217,0.503825510284424,0.0,0.0,0.07307633333333333,0.07485733333333333,0.07129533333333334,4.874355126374699,0.8688002994572336,0.0,0.0,0.07084,0.0807,0.07577,13.26080784231682,0.36004056795131845,0.002350203176729998,7.45071293955049,-0.00131719147388773,-0.0015376216192956858,0.00022043014540795583,0.0732175,0.07435444444444445,0.07400795691918606,0.07532514839307379,0.8126410835214446,0.8313447275072556,-0.018703643985811036,-0.2983636247436104,18.042405174917608,-0.0005144444444444424,-423.6487927247479,-457.843958428768,34.1951657040201,0.073265,0.07577,0.0745175,0.07577,0.0,0.0,10.728610676508236,22.703541190549274,22.830153032307425,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07110522408,0.07555667479638793,0.0,0.0,44.618033483539044,0.9358492417767763,0.935976418804895,0.8774193005561844,-37.68230334914489,52.384268017613856,73.19587628865985,67.03741606141837,-26.804123711340154,1.738888888890011e-05,2.0578954589106893,-1.7486742502174037,-2.0267377069661148,0.278063456748711,-10.340701256832817,-5.193977438272837,-5.14672381855998,0.07276307743777082,0.7175737882480382,0.7150114778832872,-6.486486486486487,44.618033483539044,-0.00131719147388773,-0.0015376216192956858,0.00022043014540795583,0.07435444444444445,0.07900160951681669,0.0697072793720722,-0.50374326619002,0.13610728979072245,0.0007717020587447338,-0.6699265932000413,-0.5478840079251888,0,0,0,0,0,0,1,0,0,1,1,0.0,0.0,1.0,0.0,1.0
2022-12-24,0.07572,0.07614,0.0753,0.07537,34375090.0,1967799229.0,142875258.34244633,-158779633.0,0.162478845269792,7124.8361543008805,1.8449406241554563e-06,4.214884826953267e-07,-1742242.2916440163,0.07316324004190951,49.17766214707828,919.5274237632383,0.0744078947368421,0.07895379435343063,0.06986199512025358,12.218863690918752,0.60582121739414,0.0,0.0,0.07332566666666666,0.07489366666666666,0.07175766666666668,4.276810757488264,1.1518920068027247,1.0,0.0,0.07084,0.0807,0.07577,13.251282051282043,0.4594320486815425,0.0022901828590569983,7.295016595004184,-0.0011109687257855327,-0.0014522910405936553,0.0003413223148081225,0.073345,0.0744078947368421,0.07421750200854205,0.07532847073432758,0.907000686341798,0.7669869595058335,0.14001372683596447,-0.2867815500443121,18.9032356815508,-0.0007578947368421102,-408.753146958547,-450.9972754852415,42.24412852669451,0.07350000000000001,0.07577,0.074635,0.07577,100.0,0.0,11.51394807103933,21.513742276568596,53.75999818986125,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.0712886151168,0.07555667479638793,0.0,0.0,49.81821299239605,1.0,0.935976418804895,0.9431042808296977,-31.243548025848078,49.58589185040823,85.47169811320768,72.94231231722276,-14.528301886792322,0.0004684210526315763,2.072047670639225,-1.4748324437698408,-1.9163566543268602,0.4415242105570194,-11.2344217442561,-6.402066299469491,-4.832355444786609,0.0728285800559105,1.3173813684635105,1.3087793652128532,-5.254556882463845,49.81821299239605,-0.0011109687257855327,-0.0014522910405936553,0.0003413223148081225,0.0744078947368421,0.07895379435343063,0.06986199512025358,-0.5570512204476504,0.1364158494376131,0.06013363991399953,-0.9765252772702795,-1.08634924908055,0,0,0,0,0,1,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0
2022-12-23,0.07509,0.07573,0.07396,0.07572,34853252.0,1977042332.0,177334688.28594875,-123926381.0,0.1939779822903788,7849.66501797213,-4.443631257134939e-06,1.5532728199136793e-07,-1580392.242552872,0.07326629322120236,49.87414687856962,919.5274237632383,0.0744735,0.07894105537178892,0.07000594462821108,11.997704879692554,0.6395058254757421,0.0,0.0,0.07363766666666667,0.07519766666666666,0.07207766666666666,4.2369620619882005,1.16741452991453,1.0,0.0,0.07084,0.0807,0.07577,13.239608719880216,0.4949290060851925,0.002238164573151299,6.943392532829638,-0.0009088173564657381,-0.001343596303768072,0.00043477894730233383,0.0735175,0.0744735,0.07444865554568943,0.07535747290215516,0.8631910426871934,0.7669699090272912,0.09622113365990215,-0.27023165634169016,19.81277212473306,-0.0007535000000000042,-392.62047090011,-442.28328899722663,49.662818097116656,0.07350000000000001,0.07577,0.074635,0.07577,100.0,0.0,10.892198607547778,24.44011821990162,33.68563091872103,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.071579698209792,0.07555667479638793,0.0,0.0,51.56731508825146,1.0,0.9786164139255921,0.950189750511794,-25.714343574100702,53.688730793860096,92.07547169811313,83.58101536666021,-7.9245283018868635,0.0004984999999999989,2.8105906313645654,-1.2060082715960434,-1.7742869777806969,0.5682787061846535,-11.776128155063073,-7.476878670588208,-4.299249484474865,0.07302820422181966,0.4643757463181464,0.46330084857433285,-4.81458202388435,51.56731508825146,-0.0009088173564657381,-0.001343596303768072,0.00043477894730233383,0.0744735,0.07894105537178892,0.07000594462821108,-0.40132681900998574,0.13327571111526826,0.4456808190805422,-1.1498025763778297,-0.4498596439982985,0,0,0,1,1,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1.0
2022-12-22,0.07599,0.07599,0.07417,0.07509,38734448.0,1957921372.0,177760341.56067416,-162660829.0,0.17723460664356908,3242.183981119015,1.1041850912655291e-06,1.906702808694987e-07,-1902667.7607779067,0.07334042440239855,41.97379487490328,919.5274237632383,0.0742505,0.07808220706082811,0.07041879293917189,10.321026958278019,0.6095464745442432,0.0,0.0,0.07399166666666666,0.07560766666666667,0.07237566666666667,4.3680594661560965,0.8398308580858086,0.0,0.0,0.07084,0.0807,0.07577,13.27937185608177,0.43103448275862133,0.002196348115836169,6.676826372907574,-0.000790336171312439,-0.0012329442772769455,0.0004426081059645064,0.07363166666666666,0.07450285714285713,0.07454732392327568,0.07533766009458812,0.8656249999999994,0.7684027777777773,0.0972222222222221,-0.2520955931496761,20.763144581234684,-0.001730499999999996,-366.6819907063263,-430.73177582353804,64.04978511721174,0.07350000000000001,0.07577,0.074635,0.07577,100.0,0.0,11.083668916825351,23.06114801963024,47.253776312039584,0.1447857703544994,0.15434661628359952,4.0,36.0,-32.0,0.07185331631720449,0.07555667479638793,0.0,0.0,48.30364585434002,0.9210516962644651,0.9736838987548216,0.9627589104951029,-22.30918315944311,58.67277756346024,80.1886792452831,85.91194968553464,-19.811320754716895,0.0005743333333333295,1.8583830710797749,-1.0490585589201395,-1.6292412940085854,0.5801827350884459,-11.35527181553525,-8.252557299577617,-3.102714515957633,0.07325098363518533,-0.8320126782884185,-0.8354932229329481,-5.606536769327453,48.30364585434002,-0.000790336171312439,-0.0012329442772769455,0.0004426081059645064,0.0742505,0.07808220706082811,0.07041879293917189,-0.3703107081579939,0.13527464603453995,0.6460898309791526,-1.2163901666810846,-0.437293387208655,1,0,0,0,0,1,1,1,0,0,0,0.0,1.0,0.0,1.0,1.0
